actorid,name.data,name.orig,name.orig.full,name.orig.fulleng,namechange,newname,newname.full.mt,newname.fulleng,org,dyadid,primary.party,osid,osvcoalition,osvcoalitionid,nsid,nscoalition,nscoalitionid,splinter,name.prev,actorid.prev,split.temp,name.split.temp,actorid.split.temp,alliance,name.alliance,actorid.alliance,join.group,group.name,actorid.group,location,gwno.loc,region,conflictid,origin,parent.org.subset,origin.name,origin.notes,ideology,ethnicity,religion,sources,delete,,
1033,BMA,BMA,,Beik Mon Army,0,,,,1,326,NA,NA,0,,,0,,1,NMSP,1032,0,,NA,0,,,0,,NA,Myanmar (Burma),775,3,26-Jan,splinter,1,NMSP,Broke from NMSP in 1997,Secessionist,Mon,None,UCDP,,,
1034,CPI-ML,CPI-ML,,Communist Party of India-Marxist-Leninist,0,,,,1,690,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,India,750,3,29-Jan,splinter,1,CPI,"Broke from CPI, advocating more violent revolution",Communist,Mixed,None,wikipedia,,,
1035,PWG,PWG,,People_‹_s War Group,0,,,,1,405,NA,1035,0,,2-500,0,,1,CPI-ML,1034,0,,NA,1,CPI-Maoist,1037,0,,NA,India,750,3,29-Jan,splinter,1,CPI-ML,"Broke from CPI-ML, for abandoning armed struggle",Communist,Mixed,None,UCDP,,,
1036,MCC,MCC,,Maoist Communist Centre,0,,,,1,406,NA,1036,0,,,0,,0,,NA,0,,NA,1,CPI-Maoist,1037,0,,NA,India,750,3,29-Jan,splinter,1,CPI-ML,Broke from CPI-ML,Communist,Mixed,None,UCDP,,,
1037,CPI-Maoist,CPI-Maoist,,Communist Party of India-Maoist,0,,,,1,451,NA,1037,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,India,750,3,29-Jan,alliance,0,PWG; MCC,Alliance of PWG and MCC in 2004,Communist,Mixed,None,UCDP,,,
1038,CPM,CPM,,Communist Party of Malaya,0,,,,1,"585, 693",NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Malaysia,820,3,"1-31, 1-64",political party; anti-colonial,0,CPM,"Fought British, and then began fighting independent govt",Communist,NA,None,UCDP,,,
1039,Opposition coalition,Opposition coalition,,Opposition coalition,0,,,,1,615,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Yemen (North Yemen),678,2,Jan-33,deposed government,0,North Yemeni Government,"Government ousted by coup, fought to restore ruling family",Monarchy Restoration,Arab,Islam,UCDP,,,
1040,Royalists,Royalists,,Royalists,0,,,,1,616,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Yemen (North Yemen),678,2,Jan-33,deposed government,0,North Yemeni Government,"Ousted by Republican coup, fought to regain power",Monarchy Restoration,Arab,Islam,Wikipedia,,,
1041,NDF,NDF,,National Democratic Front,0,,,,1,617,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Yemen (North Yemen),678,2,Jan-33,political party,0,NDF,"Coalition of leftist parties originally pursuing peaceful change, later resorted to violence",Leftist; Irredentist,Arab,None,UCDP,,,
1042,PNDF,PNDF,,Pawngywng National Defense Force,0,,,,1,753,NA,NA,0,,,0,,1,KNU,1021,0,,NA,0,,,0,,NA,Myanmar (Burma),775,3,Jan-34,splinter,1,KNU,"Splintered from KNU, likely to puruse Kachin independence",Secessionist,NA,NA,UCDP,,,
1043,KIO,KIO,,Kachin Independence Organization,0,,,,1,304,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Myanmar (Burma),775,3,Jan-34,splinter,1,KNU,Peacefully splintered from Karen National Defense Organization to puruse Kachin independence,Secessionist,Kachin,NA,Wikipedia,,,
1044,Palestinian insurgents,Palestinian insurgents,,Palestinian insurgents,0,,,,1,695,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Israel,666,2,Jan-37,foreign intervention,1,NA,"Most domestic Palestinian groups defeated in 1948, Arab League fostered creation of new orgs to fight new Israeli state",Reclaim Territory,Arab,Islam,"UCDP, Wikipedia",,,
1045,Non PLO groups,Non PLO groups,,Non Palestine Liberation Organization groups,0,,,,1,696,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Israel,666,2,Jan-37,transnational political organization; alliance,1,NA,"Possibly should be deletes since most components have separate entries. This includes Hamas, Islamic Jihad, Hezbollah, and the Popular Front for the Liberation of Palestine. Most emerged from Egyptian Muslim Brotherhood, while Hezbollah is alliance of existing militias.",Reclaim Territory,Arab,Islam,"UCDP, Wikipedia",1,,
1046,PLO,PLO,,Palestine Liberation Organization,0,,,,1,781,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Israel,666,2,Jan-37,foreign intervention,0,PLO,Created by Arab League,Reclaim Territory,Arab,Islam,"UCDP, Wikipedia",1,,
1047,PFLP,PFLP,Al-Jabna Al-Shabiyya li-Tahrir Filastin,Popular Front for the Liberation of Palestine,0,,,,1,419,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Israel,666,2,Jan-37,transnational political organization,0,Arab Nationalist Movement,Emerged from Arab Nationalist Movement,Reclaim Territory; Communist,Arab,Christian,"UCDP, Wikipedia",,,
1048,PFLP-GC,PFLP-GC,Al-Jabna Al-Shabiyya li-Tahrir Filastin - General Command,Popular Front for the Liberation of Palestine-General Command,0,,,,1,428,NA,NA,0,,,0,,1,PFLP,1047,0,,NA,0,,,0,,NA,Israel,666,2,Jan-37,splinter,1,PFLP,"Broke away to focus on military strategy, and on the Lebanon/Syria region",Recleaim Territory,Arab,Islam,"UCDP, Wikipedia",,,
1049,Fatah,Fatah,Harakat al-Tahrir al-Watani al-Filastini,Palestinian National Liberation Movement,0,,,,1,377,NA,NA,0,,"2-235, 2-57",0,,0,,NA,0,,NA,0,,,0,,NA,"Israel, Lebanon","666, 660",2,Jan-37,exiles/diaspora,0,Fatah,Formed by student groups in Persian Gulf,Reclaim Territory,Arab,Islam,"UCDP, Wikipedia",,,
1050,PIJ,PIJ,Harakat al-Jihad al-Islami fi Filastin,Palestinian Islamic Jihad,0,,,,1,380,NA,1050,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Israel,666,2,Jan-37,transnational political organization,1,Muslim Brotherhood,Formed by Palestininas who were originally active in Egyptian Muslim Brotherhood,Reclaim Territory,Arab,Islam,"UCDP, Wikipedia",,,
1051,Hamas,Hamas,Harakat al-Muqawarna al-Islamiyya,Islamic Resistance Movement,0,,,,1,381,NA,1051,0,,Feb-57,0,,0,,NA,0,,NA,0,,,0,,NA,Israel,666,2,Jan-37,transnational political organization,1,Muslim Brotherhood,Formed from Muslim Brotherhood in Gaza,Reclaim Territory,Arab,Islam,WIkipedia,,,
1052,PNA,PNA,,Palestinian National Authority,0,,,,1,427,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Israel,666,2,Jan-37,alliance - political parties,0,Fatah; Hamas,Formed during Oslo Accords as governing institution for Palestinians,Reclaim Territory,Arab,Islam,UCDP,1,,
1053,AMB,AMB,Kataeb al-Shaheed al-Aqsa,al-Aqsa Martyrs' Brigades,0,,,,1,426,NA,1053,0,,,0,,1,Fatah,1049,0,,NA,1,Fatah,1049,0,,NA,Israel,666,2,Jan-37,splinter,1,Fatah,Covertly founded by Arafat to distance Fatah/PA/PLO from suicide attacks,Reclaim Territory,Arab,Islam,WIkipedia,,,
1054,PRC,PRC,,Popular Resistance Committees,0,,,,1,629,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Israel,666,2,Jan-37,splinter,1,Fatah,Defected from Fatah in opposition to conciliatory approach,Reclaim Territory,Arab,Islam,Wikipedia,,,
1055,Tibet,Tibet,,Tibet,0,,,,1,606,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,China,710,3,Jan-39,religious organization; foreign intervention,0,Tibet,Dalai Lama's relatives involved in initial organization; CIA involved in 1959 uprising,Secessionist,Tibetan,Buddhist,Wikipedia,,,
1056,Republic of South Moluccas,Republic of South Moluccas,,Republic of South Moluccas,0,,,,1,605,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Indonesia,850,3,Jan-40,occupying military,0,Republic of South Moluccas,Moluccan Islands were largely pro-Dutch and converted to Chritianity. Mobilized for own state rather than joining with Indonesian Republic.,Secessionist,Ambon,Christian,Wikipedia,,,
1057,Military faction (navy),Military faction (navy),,Military faction (navy),0,,,,1,598,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Thailand,800,3,Jan-43,military faction,1,Thai Army,Unsuccessful coup attempt by navy,Coup,Thai,None,UCDP,,,
1058,CPT,CPT,,Communist Party of Thailand,0,,,,1,599,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Thailand,800,3,Jan-43,political party,0,CPT,Communist party mobilized violently,Communist,Chinese; Vietnamese; Thai,None,UCDP,,,
1059,Darul Islam,Darul Islam,Darul Islam,Islamic State,0,,,,1,595,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Indonesia,850,3,Jan-46,anti-colonial,1,Darul Islam,Muslim anti-Dutch militias pushed for Islamic State in west Java.,Islamic State,Javinese,Islam,Wikipedia,,,
1060,Permesta Movement,Permesta Movement,Permesta Movement,Permesta Movement,0,,,,1,752,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Indonesia,850,3,Jan-46,military faction,1,Indonesian Army,Some civil and military leaders launched rebellion over concern that government was too Java-centric. CIA also supported as a bulwark against communism.,Ethnic Grievances; Anti-Communist,Sulawesi; Sumatran,Islam,Wikipedia,,,
1061,PRRI,PRRI,Pemerintah Revolusioner Republik Indonesia,Revolutionary Government of the Indonesian Republic,0,,,,1,596,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Indonesia,850,3,Jan-46,military faction,1,Indonesian Army,Military commanders began engaging in illicit trade to enrich themselves; eventually sought independence.,Autonomy; Anti-Communist,Sumatran,Islam,Wikipedia,,,
1063,FNL,FNL,Front national de libê©ration,National Liberation Front,0,,,,1,614,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,South Vietnam,817,3,Jan-52,anti-colonial,1,FNL,Many communist Viet Minh were left in the South to stage an insurgency againt the anti-Communist regime there. This is also known as the Viet Cong.,Irredentist; Communist,Vietnamese,None,Wikipedia,,,
1064,NNC,NNC,,Naga Nationalist Council,0,,,,1,711,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,India,750,3,Jan-54,political party,0,NNC,Naga pro-independence group formed by WWI veterans,Secessionist,Naga,Christian,Wikipedia,,,
1065,NSCN-IM,NSCN,,National Socialist Council of Nagaland,1,NSCN-IM,,National Socialist Council of Nagaland _‹_ Isaac-Muivah faction,1,286,NA,1065,0,,"2-124, 2-125",0,,1,NNC,1064,0,,NA,0,,,0,,NA,India,750,3,Jan-54,splinter,1,NNC,"Originally split from NNC as a single organization to continue fighting after NNC surrender. In 1988 the NSCN further split, with  the rank and file comprising the K faction.",Secessionist; Socialist,Naga,Christian,UCDP,,,
1066,NSCN-K,NSCN-K,,National Socialist Council of Nagaland- Khaplang faction,0,,,,1,853,NA,NA,0,,"2-124, 2-504",0,,1,NSCN-IM,1065,0,,NA,0,,,0,,NA,"India, Myanmar (Burma)","750, 775",3,1-277,splinter,1,NSCN-IM,"Originally split from NNC as a single organization to continue fighting after NNC surrender. In 1988 the NSCN further split, with the leadership joining the K faction.",Secessionist; Socialist,Naga,Christian,UCDP,,,
1067,KNPP,KNPP,,Karenni National Progressive Party,0,,,,1,311,NA,NA,0,,,0,,1,KNU,1021,0,,NA,0,,,0,,NA,Myanmar (Burma),775,3,Jan-56,splinter,1,KNU,Split from KNU to pursue separate state for Karenni,Secessionist,Karenni,Christian,UCDP,,,
1068,State of Oman/Free Oman,State of Oman/Free Oman,,State of Oman/Free Oman,0,,,,1,607,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Oman,698,2,Jan-61,foreign intervention,0,State of Oman,Saudi Arabia sponsored an uprising against the Sultanate.,Secessionist,Arab,Islam,Wikipedia,,,
1069,Military faction (free Officers Movement),Military faction (free Officers Movement),,Military faction (free Officers Movement),0,,,,1,717,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Iraq,645,2,Jan-62,military faction,1,Iraqi Army,Coup to replace King with leftist regime.,Coup; Leftist; Democratic,Arab,Islam,UCDP,,,
1070,Military faction (forces of Abdul Wahab al-Shawaf),Military faction (forces of Abdul Wahab al-Shawaf),,Military faction (forces of Abdul Wahab al-Shawaf),0,,,,1,718,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Iraq,645,2,Jan-62,military faction,1,Iraqi Army,Coup attempt against new regime in opposition to Communist leanings,Coup; Anti-communist,Arab,Islam,UCDP,,,
1071,Military faction (forces of Abd as-Salam Arif),Military faction (forces of Abd as-Salam Arif),,Military faction (forces of Abd as-Salam Arif),0,,,,1,719,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Iraq,645,2,Jan-62,military faction,1,Iraqi Army,Coup to replace Qassim with pan Arab (Baathist) regime,Coup; Baathist,Arab,Islam,UCDP,,,
1072,NCRC,NCRC,,National Council of the Revolutionary Command,0,,,,1,720,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Iraq,645,2,Jan-62,political party,0,NCRC,Alliance of Baathists and Arab Nationalists,Baathist,Arab,Islam,UCDP,,,
1073,SCIRI,SCIRI,,Supreme Council for the Islamic Revolution in Iraq,0,,,,1,298,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Iraq,645,2,Jan-62,political party,0,SCIRI,Shiite party and militia,Religious Grievance,Arab,Islam (Shiite),UCDP,,,
1074,al-Mahdi Army,al-Mahdi Army,Jaish al-Mahdi,al-Mahdi Army,0,,,,1,442,NA,1074,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Iraq,645,2,Jan-62,religious organization,0,al-Mahdi Army,Shiite religious group that mobilized to defend local areas,Religious Grievance,Arab,Islam (Shiite),UCDP,,,
1075,Ansar al-Islam,Ansar al-Islam,Ansar al-Islam,Supporters of Islam,1,"JAAS, Ansar al-Islam","Jaish Ansar Al-Sunna, Ansar al-Islam","Supporters of the Protectors of the Faith, Supporters of Islam",1,443,NA,1075,0,,17-Feb,0,,0,,NA,0,,NA,0,,,0,,NA,Iraq,645,2,Jan-62,alliance,0,Ansar al-Islam,Alliance of Kurdish Islamist militias,Islamist,Kurdish,Islam (Sunni),UCDP,,,
1076,IS,Jama_‹_at Al-Tawhid wa Al-Jihad,Jama_‹_at Al-Tawhid wa Al-Jihad,The Monotheism and Jihad Group,1,"TQJBR, ISI, ISIS, IS","Tanzim Qa_‹_idat al Jihad fi Bilad al Rafidayn, Dawlat al-_‹_Iraq al-Islamiyya, al-Dawla al-Islamiya fi al-Iraq wa al-Sham, al-Dawla al-Islamiyya","Organization of of Jihad_‹_s Base in the Country of the Two Rivers, Islamic State of Iraq, Islamic State in Iraq and al-Sham, Islamic State",1,"14244, 448",NA,1076,0,,"2-13801, 2-13813, 2-14152, 2-14341, 2-14342, 2-14344, 2-14348, 2-14361, 2-14369, 2-14374, 2-14379, 2-14393, 2-14397, 2-88, 2-13767, 2-13794, 2-14355, 2-1, 2-13770",1,"565281, 565282, 565284",0,,NA,0,,NA,0,,,0,,NA,"Iraq, Syria, Jordan, Lebanon","645, 652, 663, 660",2,"1-62, 1-63",alliance,0,al-Qaeda in Iraq; others,Alliance of former al Qaeda in Iraq members and other Islamist groups,Islamic State,Arab; Foreign,Islam (Sunni),Wikipedia,,,
1077,RJF,IAI,Al-Jaysh al-Islami fi Iraq,Islamic Army of Iraq,1,RJF,,Reformation and Jihad Front,1,578,NA,NA,0,,Feb-88,0,,0,,NA,0,,NA,0,,,0,,NA,Iraq,645,2,Jan-62,alliance,0,RJF,Alliance of Sunni insurgent groups,Islamist,Arab,Islam (Sunni),Wikipedia,,,
1078,Independent Nasserite Movement,Independent Nasserite Movement,,Independent Nasserite Movement,0,,,,1,570,NA,NA,0,,,0,,0,,NA,0,,NA,1,NSF,1079,0,,NA,Lebanon,660,2,Jan-63,political party,0,Independent Nasserite Movement,Nasserites,Islamist,Arab,Islam (Shiite),UCDP,,,
1079,NSF,LNM,,Lebanese National Movement,1,NSF,,National Salvation Front,1,722,NA,NA,0,,,0,,0,,NA,0,,NA,1,NUF,1082,0,,NA,Lebanon,660,2,Jan-63,alliance - political parties,0,Lebanese Communist Party;  Organization of Communist Action; Baath Party; Syrian Social Nationalist Party; Lebanese Armed Revolutionary Factions; Arab Democratic Party,Numerous Lebanese parties formed an alliance in response to Israeli invasion in 1982,Anti-occupation,Arab,None,"UCDP, Wikipedia",,,
1080,LAA,LAA,,Lebanese Arab Army,0,,,,1,723,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Lebanon,660,2,Jan-63,military faction,1,Lebanese Army,Muslim batalions refused orders from predominately Christian leadership to fight Muslim insurgents,Religious Grievance,Arab,Islam (Sunni),UCDP,,,
1081,Amal,Amal,Afwê¢j al-Muqê¢wmat al-Lubnê¢niyya,Lebanese Resistance Detachment,0,,,,1,724,NA,NA,0,,2-234,0,,0,,NA,0,,NA,1,NUF,1082,0,,NA,Lebanon,660,2,Jan-63,political party,0,Amal,Shi'a party that used violence against Israel,Anti-occupation; Religious Grievances,Arab,Islam (Shiite),"UCDP, Wikipedia",,,
1082,NUF,NUF,,National Union Front,0,,,,1,725,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Lebanon,660,2,Jan-63,alliance,0,LNM;  Amal,Alliance against Maronites who dominated government,Religious Grievance,Arab,Islam (mixed),UCDP,,,
1083,Lebanese Forces - Hobeika faction,Lebanese Forces - Hobeika faction,,Lebanese Forces - Hobeika faction,0,,,,1,726,NA,NA,0,,,0,,1,Lebanese Forces,1085,0,,NA,0,,,0,,NA,Lebanon,660,2,Jan-63,splinter,1,LF,Hobeika battled Geagea for control of the Lebanese Forces political party/militia. Pro-Syrian.,Leadership Struggle,Arab,Islam,UCDP,,,
1084,Forces of Michel Aoun,Forces of Michel Aoun,,Forces of Michel Aoun,0,,,,1,376,NA,NA,0,,"2-237, 2-389",0,,0,,NA,0,,NA,0,,,0,,NA,Lebanon,660,2,Jan-63,military faction,1,Lebanese Army,"Pro-Maronite, anti-Syrian faction of the military",Religious Grievance,Arab,Christian (Maronite),UCDP,,,
1085,Lebanese Forces,Lebanese Forces,,Lebanese Forces,0,,,,1,383,NA,NA,0,,2-237,0,,0,,NA,0,,NA,0,,,0,,NA,Lebanon,660,2,Jan-63,political party,0,Lebanese Front,Alliance of mostly Christian political parties,Religious Grievance,Arab,Christian,UCDP,,,
1086,Pathet Lao,Pathet Lao,Pathet Lao,Pathet Lao,0,,,,1,734,NA,NA,0,,,0,,1,Lao Issara,1008,0,,NA,0,,,0,,NA,Laos,812,3,Jan-65,political party,0,Lao People's Revolutionary Party,Comunist movement with support from N. Vietnam,Communist,Lao,None,Wikipedia,,,
1087,Neutralists,Neutralists,,Neutralists,0,,,,1,736,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Laos,812,3,Jan-65,military faction,1,Laotian Army,Army faction broke away to promote neutrality in vietnam and elsewhere.,Foreign Policy,Lao,None,Wikipedia,,,
1088,LRM,LRM,,Lao Resistance Movement,0,,,,1,382,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Laos,812,3,Jan-65,alliance - political parties,0,ULNF; others,Aliance of mostly Hmong resitance groups,Ethnic Grievances,Hmong,None,UCDP,,,
1089,NSH,NSH,Noom Suik Harn,Brave Young Warriors,0,,,,1,742,NA,NA,0,,,0,,0,,NA,0,,NA,0,,,0,,NA,Myanmar (Burma),775,3,Jan-67,underground resistance,0,NSH,Shan student activists,Secessionist,Shan,None,Wikipedia,,,
1090,SSIA,SSIA,,Shan State Independence Army,0,,,,1,743,NA,NA,0,,,0,,1,NSH,1089,0,,NA,1,SSA,1092,0,,NA,Myanmar (Burma),775,3,Jan-67,splinter,1,NSH,Members of NSH formed SSIA in wake of a defeat,Secessionist,Shan,None,Wikipedia,,,
1091,SNUF,SNUF,,Shan National United Front,0,,,,1,744,NA,NA,0,,,0,,0,,NA,0,,NA,1,SSA,1092,0,,NA,Myanmar (Burma),775,3,Jan-67,splinter,1,NSH,Not finding much info,Secessionist,Shan,None,UCDP,,,
