"actorid","name.data","name.orig","name.orig.full","name.orig.fulleng","namechange","newname","newname.full.mt","newname.fulleng","org","dyadid","primary.party","osid","osvcoalition","osvcoalitionid","nsid","nscoalition","nscoalitionid","splinter","name.prev","actorid.prev","split.temp","name.split.temp","actorid.split.temp","alliance","name.alliance","actorid.alliance","join.group","group.name","actorid.group","location","gwno.loc","region","conflictid","origin"
1034,"CPI-ML","CPI-ML","","Communist Party of India-Marxist-Leninist",0,"","","",1,"690",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"India","750","3","1-29",NA
1035,"PWG","PWG","","People’s War Group",0,"","","",1,"405",NA,1035,0,"","2-500",0,"",1,"CPI-ML",1034,0,"",NA,1,"CPI-Maoist","1037",0,"",NA,"India","750","3","1-29","splinter"
1036,"MCC","MCC","","Maoist Communist Centre",0,"","","",1,"406",NA,1036,0,"","",0,"",0,"",NA,0,"",NA,1,"CPI-Maoist","1037",0,"",NA,"India","750","3","1-29",NA
1037,"CPI-Maoist","CPI-Maoist","","Communist Party of India-Maoist",0,"","","",1,"451",NA,1037,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"India","750","3","1-29","alliance"
1038,"CPM","CPM","","Communist Party of Malaya",0,"","","",1,"585, 693",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Malaysia","820","3","1-31, 1-64",NA
1039,"Opposition coalition","Opposition coalition","","Opposition coalition",0,"","","",1,"615",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Yemen (North Yemen)","678","2","1-33",NA
1040,"Royalists","Royalists","","Royalists",0,"","","",1,"616",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Yemen (North Yemen)","678","2","1-33",NA
1041,"NDF","NDF","","National Democratic Front",0,"","","",1,"617",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Yemen (North Yemen)","678","2","1-33",NA
1042,"PNDF","PNDF","","Pawngywng National Defense Force",0,"","","",1,"753",NA,NA,0,"","",0,"",1,"KNU",1021,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-34","splinter"
1043,"KIO","KIO","","Kachin Independence Organization",0,"","","",1,"304",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-34",NA
1044,"Palestinian insurgents","Palestinian insurgents","","Palestinian insurgents",0,"","","",1,"695",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Israel","666","2","1-37",NA
1045,"Non PLO groups","Non PLO groups","","Non Palestine Liberation Organization groups",0,"","","",1,"696",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Israel","666","2","1-37",NA
1046,"PLO","PLO","","Palestine Liberation Organization",0,"","","",1,"781",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Israel","666","2","1-37",NA
1047,"PFLP","PFLP","Al-Jabna Al-Shabiyya li-Tahrir Filastin","Popular Front for the Liberation of Palestine",0,"","","",1,"419",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Israel","666","2","1-37",NA
1048,"PFLP-GC","PFLP-GC","Al-Jabna Al-Shabiyya li-Tahrir Filastin - General Command","Popular Front for the Liberation of Palestine-General Command",0,"","","",1,"428",NA,NA,0,"","",0,"",1,"PFLP",1047,0,"",NA,0,"","",0,"",NA,"Israel","666","2","1-37","splinter"
1049,"Fatah","Fatah","Harakat al-Tahrir al-Watani al-Filastini","Palestinian National Liberation Movement",0,"","","",1,"377",NA,NA,0,"","2-235, 2-57",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Israel, Lebanon","666, 660","2","1-37","alliance"
1050,"PIJ","PIJ","Harakat al-Jihad al-Islami fi Filastin","Palestinian Islamic Jihad",0,"","","",1,"380",NA,1050,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Israel","666","2","1-37",NA
1051,"Hamas","Hamas","Harakat al-Muqawarna al-Islamiyya","Islamic Resistance Movement",0,"","","",1,"381",NA,1051,0,"","2-57",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Israel","666","2","1-37",NA
1052,"PNA","PNA","","Palestinian National Authority",0,"","","",1,"427",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Israel","666","2","1-37",NA
1053,"AMB","AMB","Kataeb al-Shaheed al-Aqsa","al-Aqsa Martyrs' Brigades",0,"","","",1,"426",NA,1053,0,"","",0,"",1,"Fatah",1049,0,"",NA,1,"Fatah","1049",0,"",NA,"Israel","666","2","1-37","splinter"
1054,"PRC","PRC","","Popular Resistance Committees",0,"","","",1,"629",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Israel","666","2","1-37",NA
1055,"Tibet","Tibet","","Tibet",0,"","","",1,"606",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"China","710","3","1-39",NA
1056,"Republic of South Moluccas","Republic of South Moluccas","","Republic of South Moluccas",0,"","","",1,"605",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Indonesia","850","3","1-40",NA
1057,"Military faction (navy)","Military faction (navy)","","Military faction (navy)",0,"","","",1,"598",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Thailand","800","3","1-43","military faction"
1058,"CPT","CPT","","Communist Party of Thailand",0,"","","",1,"599",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Thailand","800","3","1-43",NA
1059,"Darul Islam","Darul Islam","Darul Islam","Islamic State",0,"","","",1,"595",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Indonesia","850","3","1-46",NA
1060,"Permesta Movement","Permesta Movement","Permesta Movement","Permesta Movement",0,"","","",1,"752",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Indonesia","850","3","1-46",NA
1061,"PRRI","PRRI","Pemerintah Revolusioner Republik Indonesia","Revolutionary Government of the Indonesian Republic",0,"","","",1,"596",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Indonesia","850","3","1-46",NA
1063,"FNL","FNL","Front national de libération","National Liberation Front",0,"","","",1,"614",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"South Vietnam","817","3","1-52",NA
1064,"NNC","NNC","","Naga Nationalist Council",0,"","","",1,"711",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"India","750","3","1-54",NA
1065,"NSCN-IM","NSCN","","National Socialist Council of Nagaland",1,"NSCN-IM","","National Socialist Council of Nagaland – Isaac-Muivah faction",1,"286",NA,1065,0,"","2-124, 2-125",0,"",1,"NNC",1064,0,"",NA,0,"","",0,"",NA,"India","750","3","1-54","splinter"
1066,"NSCN-K","NSCN-K","","National Socialist Council of Nagaland- Khaplang faction",0,"","","",1,"853",NA,NA,0,"","2-124, 2-504",0,"",1,"NSCN-IM",1065,0,"",NA,0,"","",0,"",NA,"India, Myanmar (Burma)","750, 775","3","1-277","splinter"
1067,"KNPP","KNPP","","Karenni National Progressive Party",0,"","","",1,"311",NA,NA,0,"","",0,"",1,"KNU",1021,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-56","splinter"
1068,"State of Oman/Free Oman","State of Oman/Free Oman","","State of Oman/Free Oman",0,"","","",1,"607",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Oman","698","2","1-61",NA
1069,"Military faction (free Officers Movement)","Military faction (free Officers Movement)","","Military faction (free Officers Movement)",0,"","","",1,"717",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Iraq","645","2","1-62","military faction"
1070,"Military faction (forces of Abdul Wahab al-Shawaf)","Military faction (forces of Abdul Wahab al-Shawaf)","","Military faction (forces of Abdul Wahab al-Shawaf)",0,"","","",1,"718",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Iraq","645","2","1-62","military faction"
1071,"Military faction (forces of Abd as-Salam Arif)","Military faction (forces of Abd as-Salam Arif)","","Military faction (forces of Abd as-Salam Arif)",0,"","","",1,"719",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Iraq","645","2","1-62","military faction"
1072,"NCRC","NCRC","","National Council of the Revolutionary Command",0,"","","",1,"720",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Iraq","645","2","1-62",NA
1073,"SCIRI","SCIRI","","Supreme Council for the Islamic Revolution in Iraq",0,"","","",1,"298",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Iraq","645","2","1-62",NA
1074,"al-Mahdi Army","al-Mahdi Army","Jaish al-Mahdi","al-Mahdi Army",0,"","","",1,"442",NA,1074,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Iraq","645","2","1-62",NA
1075,"Ansar al-Islam","Ansar al-Islam","Ansar al-Islam","Supporters of Islam",1,"JAAS, Ansar al-Islam","Jaish Ansar Al-Sunna, Ansar al-Islam","Supporters of the Protectors of the Faith, Supporters of Islam",1,"443",NA,1075,0,"","2-17",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Iraq","645","2","1-62",NA
1076,"IS","Jama’at Al-Tawhid wa Al-Jihad","Jama’at Al-Tawhid wa Al-Jihad","The Monotheism and Jihad Group",1,"TQJBR, ISI, ISIS, IS","Tanzim Qa’idat al Jihad fi Bilad al Rafidayn, Dawlat al-’Iraq al-Islamiyya, al-Dawla al-Islamiya fi al-Iraq wa al-Sham, al-Dawla al-Islamiyya","Organization of of Jihad’s Base in the Country of the Two Rivers, Islamic State of Iraq, Islamic State in Iraq and al-Sham, Islamic State",1,"14244, 448",NA,1076,0,"","2-13801, 2-13813, 2-14152, 2-14341, 2-14342, 2-14344, 2-14348, 2-14361, 2-14369, 2-14374, 2-14379, 2-14393, 2-14397, 2-88, 2-13767, 2-13794, 2-14355, 2-1, 2-13770",1,"565281, 565282, 565284",0,"",NA,0,"",NA,0,"","",0,"",NA,"Iraq, Syria, Jordan, Lebanon","645, 652, 663, 660","2","1-62, 1-63",NA
1077,"RJF","IAI","Al-Jaysh al-Islami fi Iraq","Islamic Army of Iraq",1,"RJF","","Reformation and Jihad Front",1,"578",NA,NA,0,"","2-88",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Iraq","645","2","1-62",NA
1078,"Independent Nasserite Movement","Independent Nasserite Movement","","Independent Nasserite Movement",0,"","","",1,"570",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,1,"NSF","1079",0,"",NA,"Lebanon","660","2","1-63",NA
1079,"NSF","LNM","","Lebanese National Movement",1,"NSF","","National Salvation Front",1,"722",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,1,"NUF","1082",0,"",NA,"Lebanon","660","2","1-63","alliance"
1080,"LAA","LAA","","Lebanese Arab Army",0,"","","",1,"723",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Lebanon","660","2","1-63",NA
1081,"Amal","Amal","Afwâj al-Muqâwmat al-Lubnâniyya","Lebanese Resistance Detachment",0,"","","",1,"724",NA,NA,0,"","2-234",0,"",0,"",NA,0,"",NA,1,"NUF","1082",0,"",NA,"Lebanon","660","2","1-63",NA
1082,"NUF","NUF","","National Union Front",0,"","","",1,"725",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Lebanon","660","2","1-63","alliance"
1083,"Lebanese Forces - Hobeika faction","Lebanese Forces - Hobeika faction","","Lebanese Forces - Hobeika faction",0,"","","",1,"726",NA,NA,0,"","",0,"",1,"Lebanese Forces",1085,0,"",NA,0,"","",0,"",NA,"Lebanon","660","2","1-63","splinter"
1084,"Forces of Michel Aoun","Forces of Michel Aoun","","Forces of Michel Aoun",0,"","","",1,"376",NA,NA,0,"","2-237, 2-389",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Lebanon","660","2","1-63",NA
1085,"Lebanese Forces","Lebanese Forces","","Lebanese Forces",0,"","","",1,"383",NA,NA,0,"","2-237",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Lebanon","660","2","1-63",NA
1086,"Pathet Lao","Pathet Lao","Pathet Lao","Pathet Lao",0,"","","",1,"734",NA,NA,0,"","",0,"",1,"Lao Issara",1008,0,"",NA,0,"","",0,"",NA,"Laos","812","3","1-65","splinter"
1087,"Neutralists","Neutralists","","Neutralists",0,"","","",1,"736",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Laos","812","3","1-65",NA
1088,"LRM","LRM","","Lao Resistance Movement",0,"","","",1,"382",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Laos","812","3","1-65",NA
1089,"NSH","NSH","Noom Suik Harn","Brave Young Warriors",0,"","","",1,"742",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-67",NA
1090,"SSIA","SSIA","","Shan State Independence Army",0,"","","",1,"743",NA,NA,0,"","",0,"",1,"NSH",1089,0,"",NA,1,"SSA","1092",0,"",NA,"Myanmar (Burma)","775","3","1-67","splinter"
1091,"SNUF","SNUF","","Shan National United Front",0,"","","",1,"744",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,1,"SSA","1092",0,"",NA,"Myanmar (Burma)","775","3","1-67",NA
1092,"SSA","SSA","","Shan State Army",0,"","","",1,"746",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,1,"TRC","1096",0,"",NA,"Myanmar (Burma)","775","3","1-67","alliance"
1093,"SSNLO","SSNLO","","Shan State Nationalities Liberation Organization",0,"","","",1,"748",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-67",NA
1094,"SURA","SURA","","Shan United Revolutionary Army",0,"","","",1,"747",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,1,"TRC","1096",0,"",NA,"Myanmar (Burma)","775","3","1-67",NA
1095,"SSRA","SSRA","","Shan State Revolutionary Army",0,"","","",1,"750",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-67",NA
1096,"TRC","TRC","","Tailand Revolutionary Council",0,"","","",1,"751",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-67","alliance"
1097,"MTA","MTA","","Mong Tai Army",0,"","","",1,"308",NA,NA,0,"","2-248",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma), Thailand","775, 800","3","1-67",NA
1098,"RCSS","RCSS","","Restoration Council of Shan States",0,"","","",1,"307",NA,NA,0,"","2-146",0,"",1,"MTA",1097,0,"",NA,0,"","",0,"",NA,"Myanmar (Burma)","775","3","1-67","splinter"
1099,"NC","NC","","Nepali Congress",0,"","","",1,"652",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Nepal","790","3","1-72",NA
1100,"CPN-M","CPN-M","","Communist Party of Nepal-Maoist",0,"","","",1,"349",NA,1100,0,"","2-40",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Nepal","790","3","1-72",NA
1101,"OAS","OAS","Organisation de l’armée secrète","Secret Army Organization",0,"","","",1,"584",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"France","220","1","1-73",NA
1102,"KDP","KDP","Al-hizb al dimuqraati al-kurid","Kurdish Democratic Party of Iraq",0,"","","",1,"279",NA,NA,0,"","2-218, 2-217",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Iraq, Turkey","645, 640","2","1-74",NA
1103,"PUK","PUK","","Patriotic Union of Kurdistan",0,"","","",1,"285",NA,NA,0,"","2-17, 2-217, 2-216, 2-388",0,"",1,"KDP",1102,0,"",NA,0,"","",0,"",NA,"Iraq, Turkey","645, 640","2","1-74","splinter"
1104,"KDP-QM","KDP-QM","Al-hizb al dimuqraati al-kurid - Qiyada Muvaqqata","Kurdish Democratic Party of Iraq-Provisional Command ",0,"","","",1,"653",NA,NA,0,"","",0,"",1,"KDP",1102,0,"",NA,0,"","",1,"KDP",1102,"Iraq","645","2","1-74","splinter"
1106,"CCO","CCO","","Clandestine Communist Organization",0,"","","",1,"586",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Malaysia","820","3","1-83",NA
1108,"OPM","OPM","Organisasi Papua merdeka","Organization for a Free Papua",0,"","","",1,"498",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Indonesia","850","3","1-94",NA
1109,"MNF","MNF","","Mizo National Front",0,"","","",1,"505",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"India","750","3","1-99",NA
1110,"Military faction (forces loyal to Nureddin Atassi and Youssef Zeayen)","Military faction (forces loyal to Nureddin Atassi and Youssef Zeayen)","","Military faction (forces loyal to Nureddin Atassi and Youssef Zeayen)",0,"","","",1,"518",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Syria","652","2","1-102","military faction"
1111,"Muslim Brotherhood","Muslim Brotherhood","","Muslim Brotherhood",0,"","","",1,"519",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Syria","652","2","1-102",NA
1112,"KR","KR","Khmer Rouge","Red Khmers",1,"FUNK, KR","Front uni national du Kampuchéa, Khmer Rouge","National United Front of Kampuchea, Red Khmers",1,"364",NA,1112,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Cambodia (Kampuchea)","811","3","1-103",NA
1113,"KNUFNS","KNUFNS","","Kampuchean National United Front for National Salvation",0,"","","",1,"553",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Cambodia (Kampuchea)","811","3","1-103",NA
1114,"KPNLF","KPNLF","","Khmer People’s National Liberation Front",0,"","","",1,"378",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Cambodia (Kampuchea)","811","3","1-103",NA
1115,"FUNCINPEC","FUNCINPEC","Front uni national pour un Cambodge indépendent, neutre, pacifique et coopératif","United National Front for an Independent, Neutral, Peaceful and Cooperative Cambodia",0,"","","",1,"379",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Cambodia (Kampuchea)","811","3","1-103",NA
1116,"MIM","MIM","","Mindanao Independence Movement",0,"","","",1,"507",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Philippines","840","3","1-112",NA
1117,"MNLF","MNLF","","Moro National Liberation Front",0,"","","",1,"247",NA,NA,0,"","",0,"",1,"MIM",1116,0,"",NA,0,"","",0,"",NA,"Philippines","840","3","1-112","splinter"
1118,"MILF","MILF","","Moro Islamic Liberation Front",0,"","","",1,"242",NA,1118,0,"","2-446",0,"",1,"MNLF",1117,0,"",NA,0,"","",0,"",NA,"Philippines","840","3","1-112","splinter"
1119,"ASG","ASG","","Abu Sayyaf Group",0,"","","",1,"249",NA,1119,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Philippines","840","3","1-112",NA
1120,"MNLF - NM","MNLF - NM","","Moro National Liberation Front - Nur Misauri faction",0,"","","",1,"252",NA,NA,0,"","",0,"",1,"MNLF",1117,0,"",NA,0,"","",0,"",NA,"Philippines","840","3","1-112","splinter"
1121,"MNLF - HM","MNLF - HM","","Moro National Liberation Front - Habier Malik faction",0,"","","",1,"647",NA,NA,0,"","",0,"",1,"MNLF",1117,0,"",NA,0,"","",0,"",NA,"Philippines","840","3","1-112","splinter"
1122,"Mukti Bahini","Mukti Bahini","Mukti Bahini","Liberation Force",0,"","","",1,"542",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Pakistan","770","3","1-116",NA
1123,"JVP","JVP","Janatha Vimukthi Peramuna","People's Liberation Front",0,"","","",1,"256",NA,1123,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Sri Lanka","780","3","1-117",NA
1124,"PIRA","PIRA","","Provisional Irish Republican Army",0,"","","",1,"216",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"United Kingdom","200","1","1-119",NA
1125,"RIRA","RIRA","","Real Irish Republican Army",0,"","","",1,"248",NA,NA,0,"","",0,"",1,"PIRA",1124,0,"",NA,0,"","",0,"",NA,"United Kingdom","200","1","1-119","splinter"
1126,"PFLO","PFLOAG","al-Jabha al-Sha'abiya li-Tahrir al-Khalij al-'Arabi al-Muhtall","Popular Front for the Liberation of the Occupied Arab Gulf",1,"PFLO","","Popular Front for the Liberation of Oman",1,"561",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Oman","698","2","1-121",NA
1127,"JSS/SB","JSS/SB","Jana Samhati Samiti/Shanti Bahini","People's Solidarity Association/Peace Force",0,"","","",1,"223",NA,1127,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Bangladesh","771","3","1-126",NA
1129,"BLA","BLA","","Balochistan Liberation Army",0,"","","",1,"639",NA,1129,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Pakistan","770","3","1-129",NA
1130,"Baloch Ittehad","Baloch Ittehad","Baloch Ittehad","Baloch Unity",0,"","","",1,"638",NA,NA,0,"","",0,"",0,"",NA,0,"",NA,0,"","",0,"",NA,"Pakistan","770","3","1-129",NA
